Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
metro.co.uk,0,0,1,4,0,0,0,0,0,1,1,1,1,0,1,0,0
techcrunch.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
olx.ua,0,0,1,4,0,0,0,0,0,1,0,0,1,0,1,0,0
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,1,0,1,0,0
udn.com,0,0,1,4,0,0,0,0,0,1,0,1,1,0,1,0,0
caixa.gov.br,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,1,0
correios.com.br,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
kenh14.vn,0,0,1,2,0,0,0,0,0,1,1,1,1,0,1,0,0
khabaronline.ir,0,0,1,5,0,0,0,0,0,1,1,1,1,0,1,1,0
khabaronline.ir,0,0,1,5,0,0,0,0,0,1,1,1,1,0,1,1,0
espn.go.com,0,0,1,8,0,0,0,0,0,1,0,0,1,0,1,0,0
metro.co.uk,0,0,1,4,0,0,0,0,0,1,1,1,1,0,1,0,0
buzzfil.net,0,0,1,4,0,0,0,0,0,0,0,0,1,1,1,1,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,0,1,1,1,0,1,0,0
gtbank.com,0,0,1,6,0,0,0,0,0,1,0,1,1,0,1,1,0
indianexpress.com,0,0,1,4,0,0,0,0,0,1,0,1,1,0,1,0,0
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
cox.com,0,0,1,3,0,0,1,0,0,1,0,0,1,0,1,1,0
thenextweb.com,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,1,0
noticias.uol.com.br,0,0,1,7,0,0,0,0,0,0,0,1,1,1,1,1,0
seesaawiki.jp,0,0,1,3,0,0,0,0,0,1,0,0,1,0,1,0,0
tinnhanh360.net,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
atwiki.jp,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
abc.go.com,0,0,1,8,0,0,0,0,0,1,0,0,1,0,1,0,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,0,1,1,1,0,1,0,0
mylust.com,0,0,1,3,0,0,1,0,0,1,0,0,0,0,1,0,0
emgn.com,0,0,1,2,0,0,0,0,1,0,1,1,1,1,1,1,0
